Order_ID,Order_Date,Item_Type,Outlet_Tier,Outlet_Size,Outlet_Establishment_Year,Sales,Rating
1,2022-01-31,Seafood,Tier 2,Medium,2016,1708.4,3.6
2,2022-12-30,Snack Foods,Tier 3,Medium,2016,1260.44,4.8
3,2021-05-10,Fruits and Vegetables,Tier 3,Small,2012,93.09,4.1
4,2022-07-18,Frozen Foods,Tier 1,Medium,2012,644.33,4.6
5,2022-02-04,Frozen Foods,Tier 2,High,2018,1736.7,4.7
6,2021-12-31,Soft Drinks,Tier 3,Small,2014,518.46,5.0
7,2021-11-10,Household,Tier 2,Medium,2016,767.46,4.0
8,2019-05-02,Frozen Foods,Tier 2,High,2010,809.75,4.8
9,2020-04-11,Household,Tier 2,Small,2014,351.18,3.9
10,2022-05-23,Snack Foods,Tier 3,High,2016,732.13,5.0
11,2019-11-27,Frozen Foods,Tier 1,High,2014,1643.97,4.1
12,2019-03-29,Seafood,Tier 3,High,2016,1705.73,4.5
13,2022-10-28,Fruits and Vegetables,Tier 1,Medium,2016,1182.75,5.0
14,2022-01-28,Seafood,Tier 3,Small,2014,1373.54,3.8
15,2021-05-21,Seafood,Tier 2,Medium,2012,1092.42,4.4
16,2019-05-11,Household,Tier 2,Small,2016,136.33,5.0
17,2022-08-25,Baking Goods,Tier 2,High,2018,1408.54,4.9
18,2021-02-08,Baking Goods,Tier 3,High,2014,1993.27,3.8
19,2019-12-10,Breads,Tier 3,Medium,2012,494.26,3.6
20,2022-12-08,Frozen Foods,Tier 1,High,2010,1965.19,4.1
21,2021-03-16,Fruits and Vegetables,Tier 3,High,2016,1995.66,4.6
22,2020-01-21,Fruits and Vegetables,Tier 1,High,2016,325.95,4.7
23,2022-04-30,Dairy,Tier 3,Small,2018,1855.96,4.4
24,2021-08-13,Seafood,Tier 2,Small,2012,1367.29,4.4
25,2019-10-04,Fruits and Vegetables,Tier 3,Medium,2016,959.43,3.7
26,2022-03-30,Snack Foods,Tier 2,Small,2012,722.09,4.2
27,2020-04-04,Meat,Tier 3,High,2016,1278.11,4.4
28,2022-08-30,Seafood,Tier 1,High,2010,1693.43,4.5
29,2019-01-22,Household,Tier 3,High,2018,116.5,3.6
30,2019-09-10,Seafood,Tier 2,Medium,2010,1094.15,4.5
31,2021-01-17,Fruits and Vegetables,Tier 3,High,2010,1318.01,4.9
32,2021-05-06,Soft Drinks,Tier 1,High,2014,99.93,4.7
33,2020-04-19,Snack Foods,Tier 1,Medium,2010,1783.7,4.4
34,2021-12-18,Snack Foods,Tier 1,Small,2018,1905.99,3.6
35,2020-05-25,Frozen Foods,Tier 1,Small,2018,1244.36,4.7
36,2020-11-30,Baking Goods,Tier 3,Small,2016,278.15,4.5
37,2021-09-02,Household,Tier 1,Medium,2010,1868.2,4.3
38,2019-07-09,Frozen Foods,Tier 3,Medium,2012,1619.76,4.7
39,2021-08-15,Breads,Tier 3,High,2014,105.67,4.5
40,2020-11-17,Meat,Tier 3,High,2014,1179.36,4.2
41,2021-08-15,Dairy,Tier 1,Medium,2014,273.35,3.9
42,2020-07-16,Snack Foods,Tier 1,Medium,2018,325.08,4.3
43,2022-06-21,Household,Tier 3,High,2018,425.39,3.7
44,2021-04-11,Baking Goods,Tier 3,High,2016,822.57,3.6
45,2022-02-28,Household,Tier 3,High,2010,1758.95,3.9
46,2020-10-08,Dairy,Tier 2,Small,2018,110.6,4.1
47,2019-01-21,Dairy,Tier 2,Small,2014,1393.96,4.5
48,2021-04-20,Frozen Foods,Tier 1,High,2018,1930.87,4.2
49,2019-06-16,Seafood,Tier 2,Medium,2010,1300.41,4.6
50,2022-07-21,Breads,Tier 3,Small,2018,1640.43,4.6
51,2020-01-23,Breads,Tier 3,High,2010,1808.46,4.6
52,2020-08-23,Fruits and Vegetables,Tier 1,Small,2016,1443.86,4.3
53,2019-11-12,Breads,Tier 1,Medium,2018,1336.69,4.5
54,2019-01-14,Household,Tier 2,Medium,2010,85.04,5.0
55,2019-08-30,Breads,Tier 3,Medium,2010,1061.83,4.6
56,2021-02-15,Baking Goods,Tier 1,High,2012,964.99,4.6
57,2022-10-01,Breads,Tier 1,High,2016,1069.28,3.9
58,2020-07-18,Snack Foods,Tier 2,Small,2018,893.34,4.2
59,2021-06-16,Fruits and Vegetables,Tier 1,High,2012,1817.79,4.2
60,2022-09-25,Household,Tier 2,High,2018,1783.61,4.0
61,2019-04-02,Dairy,Tier 3,High,2014,295.11,4.2
62,2022-10-22,Frozen Foods,Tier 2,Small,2014,1089.14,4.4
63,2021-08-13,Meat,Tier 1,High,2010,1921.14,4.4
64,2022-12-22,Frozen Foods,Tier 2,Medium,2012,1217.4,4.8
65,2020-05-23,Seafood,Tier 2,High,2010,1613.25,4.5
66,2021-02-14,Meat,Tier 3,High,2010,778.05,4.8
67,2019-02-04,Baking Goods,Tier 2,Medium,2010,785.64,4.5
68,2019-07-25,Soft Drinks,Tier 1,Small,2014,685.09,4.0
69,2022-01-09,Fruits and Vegetables,Tier 1,High,2010,92.6,4.4
70,2022-11-12,Dairy,Tier 3,High,2010,1853.46,4.6
71,2021-10-22,Frozen Foods,Tier 3,High,2010,731.8,4.5
72,2021-10-18,Breads,Tier 3,High,2010,765.82,4.8
73,2022-11-14,Fruits and Vegetables,Tier 1,Medium,2012,1531.12,4.9
74,2020-07-19,Breads,Tier 2,High,2018,1077.44,4.0
75,2022-02-03,Fruits and Vegetables,Tier 1,Small,2012,755.98,3.6
76,2020-12-03,Fruits and Vegetables,Tier 1,Medium,2016,1773.05,4.5
77,2020-02-06,Seafood,Tier 3,Medium,2012,1659.49,3.7
78,2020-12-30,Snack Foods,Tier 3,Small,2016,1954.76,4.8
